"Year","Month","Nationality","State","Students","Share","Growth"
"2021","Sep","Ecuador","_All","298","0","-32"
"2021","Sep","Estonia","_All","227","0","-30"
"2021","Sep","Ethiopia","_All","167","0","-20"
"2021","Sep","Fiji","_All","719","0","-14"
"2021","Sep","Gambia","_All","4","0","-50"
"2021","Sep","Honduras","_All","25","0","4"
"2021","Sep","Ireland","_All","920","0","-18"
"2021","Sep","Jordan","_All","380","0","-20"
"2021","Sep","Korea, Republic of (South)","_All","13591","2","-24"
"2021","Sep","Libya","_All","4","0","-60"
"2021","Sep","Lithuania","_All","259","0","-45"
"2021","Sep","Malawi","_All","65","0","-18"
"2021","Sep","Maldives","_All","131","0","-2"
"2021","Sep","Malta","_All","17","0","-6"
"2021","Sep","Netherlands","_All","472","0","-40"
"2021","Sep","Niger","_All","4","0","-50"
"2021","Sep","Romania","_All","100","0","-27"
"2021","Sep","Slovakia","_All","326","0","-35"
"2021","Sep","Solomon Islands","_All","126","0","-10"
"2021","Sep","Sudan","_All","79","0","-11"
"2021","Sep","Syria","_All","22","0","10"
"2021","Sep","Tonga","_All","43","0","-17"
"2021","Sep","United Kingdom","_All","4476","1","-25"
"2021","Sep","Uruguay","_All","103","0","-31"
"2021","Sep","Albania","_All","59","0","-13"
"2021","Sep","Chile","_All","2639","0","-27"
"2021","Sep","Congo, Democratic Republic of","_All","18","0","0"
"2021","Sep","Denmark","_All","137","0","-68"
"2021","Sep","East Timor","_All","42","0","-34"
"2021","Sep","Guinea","_All","5","0","-17"
"2021","Sep","Guinea-Bissau","_All","4","0","0"
"2021","Sep","Guyana","_All","4","0","0"
"2021","Sep","Hungary","_All","163","0","-31"
"2021","Sep","Japan","_All","5426","1","-40"
"2021","Sep","Kyrgyzstan","_All","17","0","-6"
"2021","Sep","Mauritius","_All","1414","0","-21"
"2021","Sep","Mongolia","_All","2302","0","-18"
"2021","Sep","North Macedonia","_All","202","0","-22"
"2021","Sep","Seychelles","_All","19","0","-41"
"2021","Sep","Tanzania","_All","114","0","-13"
"2021","Sep","Trinidad and Tobago","_All","15","0","-25"
"2021","Sep","Turkmenistan","_All","4","0","50"
"2021","Sep","Uganda","_All","158","0","-2"
"2021","Sep","Ukraine","_All","115","0","-25"
"2021","Sep","Yemen","_All","24","0","-43"
"2021","Sep","Algeria","_All","15","0","-21"
"2021","Sep","Angola","_All","4","0","0"
"2021","Sep","Armenia","_All","12","0","-8"
"2021","Sep","Brazil","_All","14526","3","-32"
"2021","Sep","Burkina Faso","_All","4","0","0"
"2021","Sep","Costa Rica","_All","34","0","-17"
"2021","Sep","Dominica","_All","4","0","-67"
"2021","Sep","Finland","_All","203","0","-41"
"2021","Sep","Haiti","_All","4","0","-33"
"2021","Sep","Iceland","_All","15","0","-46"
"2021","Sep","Lebanon","_All","479","0","-21"
"2021","Sep","Malaysia","_All","15212","3","-24"
"2021","Sep","Marshall Islands","_All","4","0","0"
"2021","Sep","Myanmar","_All","1743","0","-24"
"2021","Sep","Oman","_All","787","0","-18"
"2021","Sep","Pakistan","_All","13427","2","-8"
"2021","Sep","Slovenia","_All","51","0","-40"
"2021","Sep","Somalia","_All","7","0","0"
"2021","Sep","St Kitts and Nevis","_All","4","0","0"
"2021","Sep","Taiwan","_All","8445","2","-22"
"2021","Sep","Togo","_All","4","0","0"
"2021","Sep","Tunisia","_All","10","0","-41"
"2021","Sep","Vanuatu","_All","18","0","-14"
"2021","Sep","Venezuela","_All","234","0","-41"
"2021","Sep","Zambia","_All","214","0","-17"
"2021","Sep","Zimbabwe","_All","917","0","-12"
"2021","Sep","Nepal","VIC","7152","4","-17"
"2021","Sep","Switzerland","NSW","105","0","-68"
"2021","Sep","Spain","NT","6","0","0"
"2021","Sep","Pakistan","SA","572","2","10"
"2021","Sep","Netherlands","WA","28","0","-61"
"2021","Sep","Mauritius","WA","473","2","-21"
"2021","Sep","Zimbabwe","NT","17","0","-19"
"2021","Sep","Ireland","NT","4","0","0"
"2021","Sep","Congo, Republic of","WA","4","0","200"
"2021","Sep","Botswana","NT","4","0","0"
"2021","Sep","St Lucia","VIC","4","0","0"
"2021","Sep","Canada","QLD","1341","2","-11"
"2021","Sep","Nepal","NT","1026","27","2"
"2021","Sep","Kiribati","QLD","4","0","0"
"2021","Sep","Barbados","VIC","4","0","-50"
"2021","Sep","Latvia","VIC","12","0","-29"
"2021","Sep","Lesotho","VIC","4","0","0"
"2021","Sep","Pakistan","NT","198","5","9"
"2021","Sep","India","QLD","11528","15","-14"
"2021","Sep","Cambodia","VIC","1511","1","-7"
"2021","Sep","Namibia","WA","4","0","-33"
"2021","Sep","Lithuania","WA","12","0","-52"
"2021","Sep","Spain","SA","25","0","-44"
"2021","Sep","Slovakia","WA","18","0","-31"
"2021","Sep","Kazakhstan","QLD","35","0","-3"
"2021","Sep","Madagascar","VIC","7","0","-22"
"2021","Sep","Czech Republic","TAS","4","0","0"
"2021","Sep","Afghanistan","SA","4","0","0"
"2021","Sep","Sri Lanka","VIC","7620","4","-15"
"2021","Sep","Ecuador","TAS","4","0","-20"
"2021","Sep","Austria","NT","4","0","0"
"2021","Sep","Belgium","NSW","116","0","-36"
"2021","Sep","Myanmar","NSW","548","0","-14"
"2021","Sep","Namibia","VIC","4","0","0"
"2021","Sep","Tonga","WA","4","0","0"
"2021","Sep","China","TAS","3065","26","-26"
"2021","Sep","United Arab Emirates","ACT","4","0","0"
"2021","Sep","Latvia","WA","4","0","100"
"2021","Sep","Germany","NSW","673","0","-43"
"2021","Sep","Lebanon","ACT","18","0","20"
"2021","Sep","Ecuador","ACT","4","0","-75"
"2021","Sep","Uzbekistan","ACT","5","0","25"
"2021","Sep","Lebanon","TAS","9","0","29"
"2021","Sep","Venezuela","QLD","67","0","-42"
"2021","Sep","Cambodia","WA","47","0","-10"
"2021","Sep","Zimbabwe","SA","47","0","15"
"2021","Sep","Bhutan","QLD","452","1","-13"
"2021","Sep","Russian Federation","QLD","135","0","-20"
"2021","Sep","Sweden","VIC","102","0","-47"
"2021","Sep","El Salvador","QLD","19","0","-10"
"2021","Sep","Zimbabwe","VIC","235","0","-10"
"2021","Sep","Nigeria","QLD","306","0","-14"
"2021","Sep","Poland","NSW","385","0","-28"
"2021","Sep","Burkina Faso","WA","4","0","0"
"2021","Sep","Uzbekistan","TAS","4","0","0"
"2021","Sep","Mauritius","TAS","16","0","0"
"2021","Sep","Yemen","SA","4","0","0"
"2021","Sep","Sierra Leone","TAS","4","0","-50"
"2021","Sep","Austria","SA","4","0","-60"
"2021","Sep","Israel","NSW","69","0","1"
"2021","Sep","Slovenia","NSW","14","0","-36"
"2021","Sep","Iraq","TAS","4","0","0"
"2021","Sep","Sierra Leone","WA","4","0","0"
"2021","Sep","Equatorial Guinea","NSW","4","0","50"
"2021","Sep","Serbia","NSW","36","0","-27"
"2021","Sep","Cyprus","QLD","5","0","-38"
"2021","Sep","Costa Rica","ACT","4","0","0"
"2021","Sep","Guinea","NSW","4","0","0"
"2021","Sep","Ukraine","NSW","57","0","-24"
"2021","Sep","Botswana","VIC","39","0","0"
"2021","Sep","St Vincent and the Grenadines","NSW","4","0","0"
"2021","Sep","Other","QLD","8","0","-11"
"2021","Sep","Paraguay","QLD","9","0","0"
"2021","Sep","Indonesia","WA","801","3","-10"
"2021","Sep","Vietnam","SA","1732","5","-8"
"2021","Sep","United States of America","NT","8","0","-27"
"2021","Sep","Gaza Strip and West Bank","VIC","7","0","-13"
"2021","Sep","United States of America","VIC","706","0","-45"
"2021","Sep","Vietnam","VIC","8058","5","-17"
"2021","Sep","Greece","NT","4","0","-50"
"2021","Sep","Malawi","SA","4","0","33"
"2021","Sep","Lebanon","WA","4","0","-43"
"2021","Sep","Cameroon","WA","4","0","0"
"2021","Sep","Mauritius","ACT","21","0","-9"
"2021","Sep","Croatia","QLD","8","0","-38"
"2021","Sep","Sudan","WA","7","0","0"
"2021","Sep","Denmark","TAS","4","0","-75"
"2021","Sep","Myanmar","SA","48","0","-27"
"2021","Sep","Jordan","SA","15","0","-17"
"2021","Sep","French Polynesia","VIC","4","0","0"
"2021","Sep","Bosnia and Herzegovina","QLD","7","0","-13"
"2021","Sep","Somalia","NSW","4","0","-50"
"2021","Sep","Malaysia","SA","900","3","-24"
"2021","Sep","Latvia","ACT","4","0","0"
"2021","Sep","Malaysia","NSW","3881","2","-20"
"2021","Sep","Estonia","WA","56","0","-32"
"2021","Sep","Pakistan","NSW","5367","3","-8"
"2021","Sep","Macau","NSW","214","0","-12"
"2021","Sep","Rwanda","NSW","10","0","11"
"2021","Sep","Qatar","ACT","4","0","-33"
"2021","Sep","South Africa","ACT","5","0","-38"
"2021","Sep","Kazakhstan","NSW","50","0","-15"
"2021","Sep","Seychelles","NSW","4","0","-50"
"2021","Sep","Comoros","QLD","4","0","0"
"2021","Sep","Switzerland","SA","8","0","-53"
"2021","Sep","Trinidad and Tobago","SA","4","0","0"
"2021","Sep","Swaziland","VIC","4","0","0"
"2021","Sep","Brunei Darussalam","WA","26","0","-21"
"2021","Sep","Mongolia","QLD","131","0","-26"
"2021","Sep","Greece","VIC","172","0","-35"
"2021","Sep","Slovenia","QLD","17","0","-47"
"2021","Sep","Uruguay","SA","4","0","50"
"2021","Sep","Vietnam","NT","269","7","5"
"2021","Sep","Cameroon","VIC","9","0","-10"
"2021","Sep","Tunisia","QLD","4","0","-50"
"2021","Sep","Belgium","QLD","68","0","-35"
"2021","Sep","Belarus","QLD","4","0","-60"
"2021","Sep","United States of America","ACT","61","0","-34"
"2021","Sep","Haiti","QLD","4","0","0"
"2021","Sep","Greece","SA","10","0","-29"
"2021","Sep","Bhutan","NSW","85","0","-17"
"2021","Sep","Suriname","NSW","4","0","0"
"2021","Sep","Singapore","SA","446","1","-15"
"2021","Sep","Montenegro","TAS","4","0","0"
"2021","Sep","Singapore","NT","6","0","20"
"2021","Sep","Argentina","NT","5","0","67"
"2021","Sep","Hungary","ACT","4","0","-50"
"2021","Sep","Costa Rica","WA","4","0","-33"
"2021","Sep","Argentina","VIC","221","0","-14"
"2021","Sep","Papua New Guinea","QLD","774","1","-19"
"2021","Sep","Afghanistan","NSW","6","0","-25"
"2021","Sep","Poland","QLD","75","0","-39"
"2021","Sep","Saudi Arabia","QLD","423","1","-40"
"2021","Sep","Iran","NSW","601","0","-16"
"2021","Sep","Georgia","WA","4","0","0"
"2021","Sep","Tajikistan","VIC","4","0","0"
"2021","Sep","Argentina","SA","52","0","21"
"2021","Sep","Cote d'Ivoire","QLD","4","0","-33"
"2021","Sep","Uganda","NSW","49","0","-14"
"2021","Sep","Iraq","VIC","33","0","-40"
"2021","Sep","Mozambique","SA","4","0","0"
"2021","Sep","Mozambique","VIC","8","0","-11"
"2021","Sep","Taiwan","VIC","2248","1","-25"
"2021","Sep","Costa Rica","NSW","10","0","0"
"2021","Sep","Slovenia","ACT","4","0","0"
"2021","Sep","Pakistan","WA","1456","5","-2"
"2021","Sep","Chile","ACT","25","0","-31"
"2021","Sep","Ecuador","QLD","104","0","-32"
"2021","Sep","Mexico","QLD","319","0","-37"
"2021","Sep","Ethiopia","NSW","61","0","-20"
"2021","Sep","Ghana","VIC","87","0","-14"
"2021","Sep","Ghana","NT","4","0","0"
"2021","Sep","Vietnam","ACT","356","2","-7"
"2021","Sep","Jordan","TAS","6","0","-25"
"2021","Sep","Bangladesh","QLD","325","0","-13"
"2021","Sep","Bulgaria","QLD","13","0","-46"
"2021","Sep","Zaire","WA","4","0","0"
"2021","Sep","Italy","SA","177","1","-6"
"2021","Sep","Korea, Republic of (South)","QLD","3406","4","-23"
"2021","Sep","Spain","TAS","12","0","0"
"2021","Sep","Iraq","QLD","14","0","8"
"2021","Sep","Eritrea","WA","4","0","0"
"2021","Sep","Qatar","SA","4","0","0"
"2021","Sep","Bangladesh","VIC","1378","1","-6"
"2021","Sep","Bahrain","NSW","8","0","-53"
"2021","Sep","China","SA","9120","28","-16"
"2021","Sep","Bolivia","WA","4","0","-33"
"2021","Sep","Ecuador","SA","5","0","-44"
"2021","Sep","Jamaica","VIC","4","0","-67"
"2021","Sep","Switzerland","ACT","4","0","-89"
"2021","Sep","Peru","QLD","227","0","-15"
"2021","Sep","Colombia","QLD","3361","4","-23"
"2021","Sep","Iran","NT","4","0","-33"
"2021","Sep","Latvia","SA","4","0","0"
"2021","Sep","Luxembourg","QLD","4","0","-33"
"2021","Sep","Iran","WA","110","0","-17"
"2021","Sep","Maldives","VIC","48","0","-9"
"2021","Sep","France","NT","14","0","-30"
"2021","Sep","United Arab Emirates","NSW","58","0","-11"
"2021","Sep","Laos","NT","4","0","0"
"2021","Sep","Japan","ACT","47","0","-36"
"2021","Sep","Oman","VIC","289","0","-20"
"2021","Sep","North Macedonia","ACT","5","0","-17"
"2021","Sep","Bahamas","SA","4","0","100"
"2021","Sep","Iraq","SA","4","0","-50"
"2021","Sep","Syria","VIC","5","0","-29"
"2021","Sep","Sierra Leone","QLD","4","0","-25"
"2021","Sep","Macau","TAS","9","0","0"
"2021","Sep","Mauritania","NSW","4","0","0"
"2021","Sep","Ecuador","VIC","72","0","-32"
"2021","Sep","Norway","QLD","163","0","-77"
"2021","Sep","Sierra Leone","SA","4","0","50"
"2021","Sep","Ghana","WA","52","0","-13"
"2021","Sep","Ukraine","ACT","4","0","0"
"2021","Sep","Nauru","NT","4","0","0"
"2021","Sep","Panama","QLD","9","0","29"
"2021","Sep","Zimbabwe","WA","229","1","-17"
"2021","Sep","Taiwan","QLD","2424","3","-21"
"2021","Sep","Mozambique","QLD","7","0","-30"
"2021","Sep","Other","TAS","4","0","-50"
"2021","Sep","Poland","WA","52","0","-13"
"2021","Sep","Switzerland","TAS","4","0","-67"
"2021","Sep","Morocco","VIC","13","0","-24"
"2021","Sep","Myanmar","NT","5","0","-29"
"2021","Sep","Oman","QLD","109","0","-17"
"2021","Sep","Lebanon","NSW","345","0","-25"
"2021","Sep","Slovakia","NSW","227","0","-35"
"2021","Sep","Mexico","VIC","362","0","-56"
"2021","Sep","Mongolia","TAS","6","0","0"
"2021","Sep","Bolivia","VIC","6","0","-40"
"2021","Sep","Indonesia","NSW","7394","3","-14"
"2021","Sep","Thailand","WA","282","1","-30"
"2021","Sep","Turkey","VIC","476","0","-31"
"2021","Sep","Colombia","VIC","5058","3","-26"
"2021","Sep","Tonga","NSW","20","0","-26"
"2021","Sep","Estonia","NSW","83","0","-22"
"2021","Sep","Malaysia","WA","1550","5","-25"
"2021","Sep","Mexico","WA","57","0","-29"
"2021","Sep","Korea, Republic of (South)","NT","25","1","-26"
"2021","Sep","Kuwait","NSW","74","0","-14"
"2021","Sep","Algeria","QLD","4","0","-50"
"2021","Sep","Philippines","NT","175","5","-24"
"2021","Sep","Portugal","NSW","181","0","-30"
"2021","Sep","Czech Republic","NSW","300","0","-41"
"2021","Sep","Zambia","NSW","25","0","-11"
"2021","Sep","Turkey","NT","4","0","0"
"2021","Sep","Norway","SA","5","0","-74"
"2021","Sep","Egypt","NSW","123","0","-10"
"2021","Sep","Myanmar","WA","98","0","-10"
"2021","Sep","Libya","VIC","4","0","0"
"2021","Sep","Saudi Arabia","TAS","28","0","0"
"2021","Sep","Burkina Faso","NSW","4","0","0"
"2021","Sep","Uruguay","WA","4","0","50"
"2021","Sep","Rwanda","WA","4","0","-50"
"2021","Sep","Niger","NSW","4","0","0"
"2021","Sep","Morocco","QLD","6","0","0"
"2021","Sep","Brunei Darussalam","NSW","63","0","-3"
"2021","Sep","Sudan","SA","11","0","-21"
"2021","Sep","Armenia","NSW","6","0","-25"
"2021","Sep","Montenegro","VIC","4","0","0"
"2021","Sep","Panama","WA","4","0","50"
"2021","Sep","Sweden","NSW","263","0","-44"
"2021","Sep","Yemen","ACT","4","0","-50"
"2021","Sep","Peru","VIC","176","0","-29"
"2021","Sep","Bahamas","NSW","4","0","-33"
"2021","Sep","Mongolia","ACT","33","0","-15"
"2021","Sep","Vietnam","TAS","495","4","-15"
"2021","Sep","Panama","VIC","5","0","-38"
"2021","Sep","South Africa","SA","34","0","-6"
"2021","Sep","Finland","WA","17","0","-39"
"2021","Sep","Colombia","NT","46","1","-2"
"2021","Sep","Yemen","TAS","4","0","-50"
"2021","Sep","Bolivia","QLD","13","0","-32"
"2021","Sep","Belgium","TAS","4","0","-20"
"2021","Sep","Fiji","TAS","8","0","33"
